day,hour,minute,driver,duration
0,7,0,59,585
0,7,0,64,585
0,7,0,66,585
0,7,0,68,525
0,7,15,13,540
0,7,15,31,450
0,7,15,38,315
0,7,15,43,405
0,7,15,44,435
0,7,15,45,510
0,7,15,48,585
0,7,15,49,585
0,7,15,53,360
0,7,15,54,585
0,7,15,59,585
0,7,15,64,585
0,7,15,66,585
0,7,15,68,525
0,7,30,13,540
0,7,30,31,450
0,7,30,38,315
0,7,30,43,405
0,7,30,44,435
0,7,30,45,510
0,7,30,48,585
0,7,30,49,585
0,7,30,53,360
0,7,30,54,585
0,7,30,59,585
0,7,30,64,585
0,7,30,66,585
0,7,30,68,525
0,7,45,13,540
0,7,45,31,450
0,7,45,38,315
0,7,45,43,405
0,7,45,44,435
0,7,45,45,510
0,7,45,48,585
0,7,45,49,585
0,7,45,53,360
0,7,45,54,585
0,7,45,59,585
0,7,45,64,585
0,7,45,66,585
0,7,45,68,525
0,8,0,13,540
0,8,0,14,360
0,8,0,31,450
0,8,0,38,315
0,8,0,43,405
0,8,0,44,435
0,8,0,45,510
0,8,0,48,585
0,8,0,49,585
0,8,0,53,360
0,8,0,54,585
0,8,0,59,585
0,8,0,64,585
0,8,0,66,585
0,8,0,68,525
0,8,15,13,540
0,8,15,14,360
0,8,15,31,450
0,8,15,38,315
0,8,15,43,405
0,8,15,44,435
0,8,15,45,510
0,8,15,48,585
0,8,15,49,585
0,8,15,53,360
0,8,15,54,585
0,8,15,59,585
0,8,15,64,585
0,8,15,66,585
0,8,15,68,525
0,8,30,13,540
0,8,30,14,360
0,8,30,31,450
0,8,30,38,315
0,8,30,43,405
0,8,30,44,435
0,8,30,45,510
0,8,30,48,585
0,8,30,49,585
0,8,30,53,360
0,8,30,54,585
0,8,30,59,585
0,8,30,64,585
0,8,30,66,585
0,8,30,68,525
0,8,45,13,540
0,8,45,14,360
0,8,45,24,330
0,8,45,31,450
0,8,45,38,315
0,8,45,43,405
0,8,45,44,435
0,8,45,45,510
0,8,45,48,585
0,8,45,49,585
0,8,45,53,360
0,8,45,54,585
0,8,45,59,585
0,8,45,64,585
0,8,45,66,585
0,8,45,68,525
0,9,0,13,540
0,9,0,14,360
0,9,0,24,330
0,9,0,31,450
0,9,0,38,315
0,9,0,43,405
0,9,0,44,435
0,9,0,45,510
0,9,0,48,585
0,9,0,49,585
0,9,0,53,360
0,9,0,54,585
0,9,0,59,585
0,9,0,64,585
0,9,0,66,585
0,9,0,68,525
0,9,15,13,540
0,9,15,14,360
0,9,15,21,360
0,9,15,24,330
0,9,15,31,450
0,9,15,38,315
0,9,15,43,405
0,9,15,44,435
0,9,15,45,510
0,9,15,48,585
0,9,15,49,585
0,9,15,53,360
0,9,15,54,585
0,9,15,59,585
0,9,15,64,585
0,9,15,66,585
0,9,15,68,525
0,9,30,13,540
0,9,30,14,360
0,9,30,21,360
0,9,30,24,330
0,9,30,31,450
0,9,30,38,315
0,9,30,43,405
0,9,30,44,435
0,9,30,45,510
0,9,30,48,585
0,9,30,49,585
0,9,30,53,360
0,9,30,54,585
0,9,30,59,585
0,9,30,64,585
0,9,30,66,585
0,9,30,68,525
0,9,45,13,540
0,9,45,14,360
0,9,45,21,360
0,9,45,24,330
0,9,45,31,450
0,9,45,38,315
0,9,45,43,405
0,9,45,44,435
0,9,45,45,510
0,9,45,48,585
0,9,45,49,585
0,9,45,53,360
0,9,45,54,585
0,9,45,59,585
0,9,45,64,585
0,9,45,66,585
0,9,45,68,525
0,10,0,13,540
0,10,0,14,360
0,10,0,21,360
0,10,0,24,330
0,10,0,31,450
0,10,0,38,315
0,10,0,43,405
0,10,0,44,435
0,10,0,45,510
0,10,0,48,585
0,10,0,49,585
0,10,0,53,360
0,10,0,54,585
0,10,0,59,585
0,10,0,64,585
0,10,0,66,585
0,10,0,68,525
0,10,15,2,270
0,10,15,13,540
0,10,15,14,360
0,10,15,21,360
0,10,15,24,330
0,10,15,31,450
0,10,15,38,315
0,10,15,43,405
0,10,15,44,435
0,10,15,45,510
0,10,15,48,585
0,10,15,49,585
0,10,15,53,360
0,10,15,59,585
0,10,15,64,585
0,10,15,66,585
0,10,15,68,525
0,10,30,2,270
0,10,30,13,540
0,10,30,14,360
0,10,30,21,360
0,10,30,24,330
0,10,30,31,450
0,10,30,38,315
0,10,30,43,405
0,10,30,44,435
0,10,30,45,510
0,10,30,48,585
0,10,30,49,585
0,10,30,53,360
0,10,30,59,585
0,10,30,64,585
0,10,30,68,525
0,10,45,2,270
0,10,45,13,540
0,10,45,14,360
0,10,45,21,360
0,10,45,24,330
0,10,45,31,450
0,10,45,38,315
0,10,45,43,405
0,10,45,44,435
0,10,45,45,510
0,10,45,48,585
0,10,45,49,585
0,10,45,59,585
0,10,45,64,585
0,10,45,68,525
0,11,0,2,270
0,11,0,13,540
0,11,0,14,360
0,11,0,21,360
0,11,0,24,330
0,11,0,31,450
0,11,0,38,315
0,11,0,43,405
0,11,0,45,510
0,11,0,48,585
0,11,0,49,585
0,11,0,59,585
0,11,0,64,585
0,11,0,68,525
0,11,15,2,270
0,11,15,13,540
0,11,15,14,360
0,11,15,21,360
0,11,15,24,330
0,11,15,31,450
0,11,15,38,315
0,11,15,45,510
0,11,15,48,585
0,11,15,49,585
0,11,15,51,585
0,11,15,59,585
0,11,15,64,585
0,11,15,68,525
0,11,30,2,270
0,11,30,13,540
0,11,30,14,360
0,11,30,21,360
0,11,30,24,330
0,11,30,31,450
0,11,30,38,315
0,11,30,45,510
0,11,30,48,585
0,11,30,49,585
0,11,30,51,585
0,11,30,64,585
0,11,30,68,525
0,11,45,2,270
0,11,45,13,540
0,11,45,14,360
0,11,45,21,360
0,11,45,24,330
0,11,45,31,450
0,11,45,38,315
0,11,45,45,510
0,11,45,48,585
0,11,45,49,585
0,11,45,51,585
0,11,45,64,585
0,12,0,2,270
0,12,0,13,540
0,12,0,14,360
0,12,0,21,360
0,12,0,24,330
0,12,0,31,450
0,12,0,38,315
0,12,0,45,510
0,12,0,49,585
0,12,0,51,585
0,12,0,57,585
0,12,0,64,585
0,12,15,2,270
0,12,15,13,540
0,12,15,14,360
0,12,15,21,360
0,12,15,24,330
0,12,15,31,450
0,12,15,45,510
0,12,15,49,585
0,12,15,51,585
0,12,15,52,540
0,12,15,57,585
0,12,15,64,585
0,12,30,2,270
0,12,30,13,540
0,12,30,14,360
0,12,30,21,360
0,12,30,24,330
0,12,30,31,450
0,12,30,49,585
0,12,30,51,585
0,12,30,52,540
0,12,30,57,585
0,12,30,64,585
0,12,45,2,270
0,12,45,13,540
0,12,45,14,360
0,12,45,21,360
0,12,45,24,330
0,12,45,31,450
0,12,45,49,585
0,12,45,51,585
0,12,45,52,540
0,12,45,57,585
0,12,45,64,585
0,12,45,69,585
0,13,0,2,270
0,13,0,13,540
0,13,0,14,360
0,13,0,21,360
0,13,0,24,330
0,13,0,31,450
0,13,0,49,585
0,13,0,51,585
0,13,0,52,540
0,13,0,57,585
0,13,0,58,585
0,13,0,64,585
0,13,0,69,585
0,13,15,2,270
0,13,15,13,540
0,13,15,14,360
0,13,15,21,360
0,13,15,24,330
0,13,15,31,450
0,13,15,51,585
0,13,15,52,540
0,13,15,57,585
0,13,15,58,585
0,13,15,61,585
0,13,15,64,585
0,13,15,69,585
0,13,30,2,270
